epoch,train_loss,val_loss,val_accuracy,curriculum_depth,lr
1,0.205330,1.529122,0.362729,5,0.000200
2,0.152361,0.448931,0.910483,8,0.000400
3,1.635024,0.673378,0.832428,11,0.000600
4,2.029685,2.058036,0.150985,14,0.000800
5,2.050900,2.067608,0.232143,17,0.001000
6,2.076509,2.102721,0.219500,20,0.001000
7,2.085240,2.083023,0.220032,24,0.000950
8,2.095969,2.107925,0.194522,27,0.000812
9,2.100788,2.101796,0.193756,30,0.000611
10,2.106418,2.105285,0.198001,33,0.000389
11,2.115422,2.123533,0.181667,36,0.000188
12,2.116922,2.113281,0.186175,40,0.000050
